cairo 1.18.4-1.1
cairomm-1.16 1.18.1-1.1
cantarell-fonts 1:0.311-1
cblas 3.12.1-2.1
chafa 1.18.2-2.1
chromaprint 1.6.1-1.1
chwd 1.24.1-1
cifs-utils 7.5-1.1
clang 22.1.8-2
clucene 2.3.3.4-17.1
code 1.131.0-1.1
compiler-rt 22.1.8-1.1
composefs 1.0.8-1.1
confuse 3.3-5.1
containerd 2.3.3-1.1
convertlit 1.8-13.1
coreutils 9.11-2.1
cpio 2.15-3.1
cpupower 7.1.6-1
cryptsetup 2.8.7-1.1
curl 8.21.0-1.1
curl-impersonate 1.5.6-1.1
dav1d 1.5.4-1.1
db5.3 5.3.28-7.1
dbus 1.16.2-1.1
dbus-broker 37-3.1
dbus-broker-units 37-3.1
dbus-units 37-3.1
dconf 0.49.0-1.1
debugedit 5.3-1
debuginfod 0.195-1
default-cursors 3-1
desktop-file-utils 0.28-1.1
device-mapper 2.03.41-1.1
diffutils 3.12-2.1
ding-libs 0.7.0-1.1
discord 1:1.0.152-1
dmidecode 3.7-1
dmraid 1.0.0.rc16.3-15.1
dnsmasq 2.93-1.1
dnssec-anchors 20250524-1
docker 1:29.7.1-1.1
docker-compose 5.4.0-1.1
dolphin 26.04.3-1.1
dosfstools 4.2-5.1
double-conversion 3.4.0-1.1
duf 0.9.1-1.1
duktape 2.7.0-7.1
e2fsprogs 1.47.4-1.1
ebook-tools 0.2.2-9.1
editorconfig-core-c 0.12.11-1.1
efibootmgr 18-4.1
efitools 1.9.2-7.1
efivar 39-2.1
egl-gbm 1.1.3-1.1
egl-wayland 4:1.1.21-1.1
egl-wayland2 1.0.1-1.1
egl-x11 1.0.5-1.1
eglexternalplatform 1.2.1-1
electron42 42.8.1-1
elfutils 0.195-1
ell 0.83-1.1
enchant 2.8.15-2.1
envycontrol 3.5.2-2
ethtool 1:7.1-1.1
exfatprogs 1.4.2-1.1
exiv2 0.28.8-2.1
expac 10-12.2
expat 2.8.2-1.1
eza 0.23.5-2.1
f2fs-tools 1.16.0-3.1
faac 2.0-1.1
faad2 2.11.2-1.2
fakeroot 1:1.37.2-3.1
fastfetch 2.66.0-1.1
fd 10.4.2-2.1
ffmpeg 2:8.1.2-11.1
ffmpegthumbnailer 2.3.0-1.1
fftw 3.3.11-1.1
file 5.48-1.1
filesystem 2025.10.12-1
findutils 4.11.0-1.1
firefox 153.0.3-1.1
fish 4.8.1-1
fish-autopair 1.0.4-2
fish-pure-prompt 4.18.0-1
fisher 4.4.8-1
flac 1.5.0-1.2
flatpak 1:1.18.0-1.1
flex 2.6.4-6.1
fluidsynth 2.5.6-1.1
fmt 12.2.0-1.1
fontconfig 2:2.18.2-1.1
freeglut 3.8.0-1.1
freerdp 2:3.30.0-1.1
freetype2 2.14.3-1.2
fribidi 1.0.16-2.1
fsarchiver 0.8.9-1.1
ftgl 2.4.0-3.1
fuse-common 3.18.2-1.1
fuse3 3.18.2-1.1
fzf 0.74.2-1.1
gamemode 1.8.2-3.1
gamescope 3.16.24-1
gawk 5.4.1-1.1
gc 8.2.12-1.1
gcc 16.1.1+r595+g171d15ac6959-1
gcc-libs 16.1.1+r595+g171d15ac6959-1
gcr-4 4.4.0.1-1.1
gdb 17.2-1.1
gdb-common 17.2-1.1
gdbm 1.26-2.1
gdk-pixbuf2 2.44.7-1.1
gettext 1.0-2.1
